bizOrderDetailId,prdOApyDetId,bizOrderDetailBizOrderId
63a6a97c01b941e68ffa3831dc74c733,03043593d1c049e587efb555d314fd50,15fb90831fbf47b7a5a6233c2c40ec88
434e57c85b3341b3a86fc717bde29a20,0010c1e7a6d64567809cefa55cb468ae,a13afedcf3274d14b6b94e741a8654aa
219b4f5e041b42ca8fa8aaa3d63dee92,5282588d7dbd4a8f8fee7842c83c6ff8,306850b07d544c259e7096d2cd8fef44
72fd9822cc7949b7b2ff254bf67bb940,4467b1b818b4442e828be7e75be8e268,f5bca7377dba489bbbd175da058b76b2
a95138a927744881941ae35dadc1db6b,19a8c7cf910f4ec08d7859b2eeb53d27,9a30662f810e43c6be309081265a0382
05d5d66b88ab4420b2aaa4d51e83b501,01bf8225c5444ea7b864a338eae61527,66606f285ead4ffea9928006eac02883
bbed8a4a21c7427e9bda3e3744b1c9e5,b42d81ca12f344489453d2b47af4ae17,faad9bb3651947f7817c9a46eadf548f
bbed8a4a21c7427e9bda3e3744b1c9e5,e62770cdadee41f49f95740fa3298c1c,faad9bb3651947f7817c9a46eadf548f
80ad8fbba52f4624a1e6ff775c481e9f,68691006a40c4816ae9ac9b2bd72d171,7441bc8198cb41f28a506410f78299f3
af1e8c9532c74814abd2e4f4a47368e6,fbd402189b4b42fa955fbcad568ff338,91b840833d74436da5e46231b6220201
474ba44351b14979b232fc38cd65ce5a,03ae0332522f43d78fcbc2f6364ee26c,a55631141a3a4a069755be8a9f2b7e00
06e1d0d68ca44cc885fa86a6b8713edf,bc54de60fe1c4fb78d6622f382f3877a,08ad8daaf74c4d12978057c89712ea29
06e1d0d68ca44cc885fa86a6b8713edf,91d0395ab1384e12991ca7cbe49c19fe,08ad8daaf74c4d12978057c89712ea29
